Strike,Last,Volume,Open Int,Type,Time
290,0.69,211,"10,221",Call,11/23/22
293.33,0.63,32,"2,804",Call,11/23/22
295,0.61,38,44,Call,11/23/22
300,0.55,"6,230","82,569",Call,11/23/22
305,0.49,53,14,Call,11/23/22
306.67,0.48,134,"7,289",Call,11/23/22
310,0.44,130,1,Call,11/23/22
313.33,0.41,128,"5,088",Call,11/23/22
315,0.35,46,4,Call,11/23/22
316.67,0.34,157,"8,060",Call,11/23/22
320,0.37,432,"8,116",Call,11/23/22
325,0.35,68,"8,985",Call,11/23/22
326.67,0.28,1,"5,438",Call,11/23/22
330,0.33,9,52,Call,11/23/22
333.33,0.3,498,"38,206",Call,11/23/22
335,0.25,2,6,Call,11/23/22
340,0.26,5,"4,998",Call,11/23/22
341.67,0.24,2,"4,952",Call,11/23/22
345,0,0,0,Call,N/A
346.67,0.22,2,"1,918",Call,11/23/22
350,0.25,105,"13,644",Call,11/23/22
353.33,0.21,2,892,Call,11/23/22
355,0.21,1,1,Call,11/23/22
358.33,0.2,2,"4,556",Call,11/23/22
360,0.19,4,"4,231",Call,11/23/22
366.67,0.16,13,"29,655",Call,11/23/22
370,0.17,0,2,Call,11/21/22
375,0.16,47,"24,255",Call,11/23/22
383.33,0.15,2,"27,086",Call,11/23/22
391.67,0.13,37,"11,645",Call,11/23/22
400,0.12,"1,247","32,952",Call,11/23/22
408.33,0.09,24,"3,465",Call,11/23/22
416.67,0.11,6,"28,003",Call,11/23/22
425,0.1,16,"9,495",Call,11/23/22
433.33,0.08,27,"32,063",Call,11/23/22
441.67,0.08,10,"3,534",Call,11/23/22
450,0.06,12,"7,041",Call,11/23/22
458.33,0.07,12,"1,878",Call,11/23/22
466.67,0.05,15,"10,700",Call,11/23/22
475,0.06,11,"7,267",Call,11/23/22
483.33,0.04,20,"11,168",Call,11/23/22
491.67,0.04,10,"4,359",Call,11/23/22
500,0.04,186,"37,910",Call,11/23/22
508.33,0.05,93,"3,537",Call,11/23/22
516.67,0.04,2,"7,613",Call,11/23/22
525,0.05,15,"2,378",Call,11/23/22
533.33,0.03,0,"8,654",Call,11/22/22
541.67,0.04,0,"1,735",Call,11/14/22
550,0.03,60,"3,688",Call,11/23/22
558.33,0.02,0,"2,117",Call,11/22/22
566.67,0.02,0,"16,056",Call,11/22/22
575,0.03,0,"18,007",Call,11/22/22
583.33,0.03,0,"1,749",Call,11/21/22
591.67,0.03,0,"1,750",Call,11/22/22
600,0.03,106,"6,238",Call,11/23/22
608.33,0.02,44,"6,969",Call,11/23/22
616.67,0.02,0,"2,300",Call,11/21/22
625,0.02,0,777,Call,11/21/22
633.33,0.02,0,"3,989",Call,11/21/22
641.67,0.01,1,825,Call,11/23/22
650,0.03,0,"1,126",Call,11/18/22
666.67,0.02,188,"30,208",Call,11/23/22
675,0.01,0,"3,917",Call,11/22/22
683.33,0.04,0,"3,623",Call,11/21/22
691.67,0.01,6,771,Call,11/23/22
700,0.01,10,"1,560",Call,11/23/22
708.33,0.02,1,548,Call,11/23/22
716.67,0.01,0,"1,172",Call,11/22/22
725,0.01,0,"2,139",Call,11/22/22
733.33,0.01,0,"6,008",Call,11/22/22
741.67,0.02,0,635,Call,11/7/22
750,0.01,30,821,Call,11/23/22
758.33,0.02,0,467,Call,11/4/22
766.67,0.01,0,"5,012",Call,11/21/22
775,0.02,0,"1,486",Call,11/21/22
783.33,0.02,0,648,Call,11/10/22
791.67,0.01,10,918,Call,11/23/22
800,0.01,7,"14,536",Call,11/23/22
808.33,0.02,5,"1,180",Call,11/23/22
816.67,0.01,60,"2,016",Call,11/23/22
825,0.01,737,"43,543",Call,11/23/22
1.67,0.01,0,"104,257",Put,11/22/22
3.33,0.01,0,"13,451",Put,10/14/22
5,0.01,0,"13,427",Put,11/11/22
6.67,0.01,0,"21,094",Put,11/14/22
8.33,0.01,0,"9,053",Put,10/25/22
10,0.01,0,"6,502",Put,11/21/22
11.67,0.01,0,"6,291",Put,11/10/22
13.33,0.02,0,"6,233",Put,11/9/22
15,0.01,3,"6,067",Put,11/23/22
16.67,0.02,0,"16,652",Put,11/21/22
18.33,0.01,0,"2,540",Put,11/22/22
20,0.01,30,"5,446",Put,11/23/22
26.67,0.01,488,"22,101",Put,11/23/22
33.33,0.02,"1,936","44,981",Put,11/23/22
40,0.04,43,"70,959",Put,11/23/22
46.67,0.09,"2,000","4,910",Put,11/23/22
50,0.11,38,"10,556",Put,11/23/22
53.33,0.12,35,"5,823",Put,11/23/22
60,0.16,86,"29,610",Put,11/23/22
66.67,0.22,23,"16,014",Put,11/23/22
70,0.27,755,"12,747",Put,11/23/22
73.33,0.34,27,"5,613",Put,11/23/22
76.67,0.37,2,"6,943",Put,11/23/22
80,0.38,49,"4,070",Put,11/23/22
83.33,0.45,353,"37,957",Put,11/23/22
86.67,0.54,310,"4,573",Put,11/23/22
90,0.58,157,"4,635",Put,11/23/22
93.33,0.72,15,"9,439",Put,11/23/22
95,0.71,93,290,Put,11/23/22
96.67,0.74,24,"3,494",Put,11/23/22
100,0.83,"3,119","31,466",Put,11/23/22
103.33,0.97,166,"3,053",Put,11/23/22
105,1.01,52,175,Put,11/23/22
106.67,1.2,8,"2,064",Put,11/23/22
108.33,1.15,12,"2,461",Put,11/23/22
110,1.21,283,"5,718",Put,11/23/22
111.67,1.3,40,"3,104",Put,11/23/22
113.33,1.37,20,"3,444",Put,11/23/22
115,1.48,"1,557","3,733",Put,11/23/22
116.67,1.59,132,"19,894",Put,11/23/22
118.33,1.72,52,"2,316",Put,11/23/22
120,1.81,478,"17,117",Put,11/23/22
121.67,1.97,48,"1,423",Put,11/23/22
123.33,2.11,472,"1,479",Put,11/23/22
125,2.2,383,"7,286",Put,11/23/22
126.67,2.35,458,"4,576",Put,11/23/22
128.33,2.54,540,"3,474",Put,11/23/22
130,2.72,"1,212","9,981",Put,11/23/22
131.67,2.91,131,"3,680",Put,11/23/22
133.33,3.07,"2,819","29,173",Put,11/23/22
135,3.3,300,"7,604",Put,11/23/22
136.67,3.55,217,"2,223",Put,11/23/22
140,4,"4,937","19,140",Put,11/23/22
143.33,4.53,314,"5,694",Put,11/23/22
145,4.8,226,671,Put,11/23/22
146.67,5.18,69,"4,541",Put,11/23/22
150,5.83,"6,028","29,619",Put,11/23/22
153.33,6.58,193,"4,943",Put,11/23/22
155,7.01,536,"1,473",Put,11/23/22
156.67,7.4,397,"6,906",Put,11/23/22
160,8.34,"2,192","17,198",Put,11/23/22
163.33,9.35,467,"5,675",Put,11/23/22
165,9.83,936,"10,194",Put,11/23/22
166.67,10.39,448,"60,849",Put,11/23/22
170,11.5,"3,056","36,026",Put,11/23/22
173.33,12.9,257,"6,846",Put,11/23/22
175,13.48,809,"8,285",Put,11/23/22
176.67,14.15,"1,266","11,284",Put,11/23/22
180,15.62,"2,671","27,692",Put,11/23/22
183.33,17.35,"1,511","40,232",Put,11/23/22
185,17.9,240,843,Put,11/23/22
186.67,18.84,222,"6,297",Put,11/23/22
190,20.68,500,927,Put,11/23/22
193.33,22.5,246,"15,805",Put,11/23/22
195,23.6,114,597,Put,11/23/22
200,26.67,564,"41,197",Put,11/23/22
203.33,29,29,"9,251",Put,11/23/22
205,30.17,33,140,Put,11/23/22
206.67,31.15,15,"7,526",Put,11/23/22
210,33.75,204,"11,397",Put,11/23/22
213.33,38,25,"5,060",Put,11/23/22
215,38.5,47,136,Put,11/23/22
216.67,38.9,780,"27,866",Put,11/23/22
220,41.3,581,"15,168",Put,11/23/22
223.33,47.67,"1,282","18,956",Put,11/23/22
225,45.35,38,108,Put,11/23/22
226.67,47,12,"6,356",Put,11/23/22
230,49.9,92,"8,553",Put,11/23/22
233.33,56.08,372,"17,701",Put,11/23/22
235,56.28,4,44,Put,11/23/22
236.67,58.62,12,"5,446",Put,11/23/22
240,58.95,136,"9,153",Put,11/23/22
243.33,61.65,36,"6,733",Put,11/23/22
245,67.37,4,183,Put,11/23/22
246.67,69.7,15,"4,715",Put,11/23/22
250,67.88,372,"13,307",Put,11/23/22
253.33,73.27,26,"1,647",Put,11/23/22
255,74.78,4,3,Put,11/23/22
256.67,74.5,312,"5,518",Put,11/23/22
260,77.56,319,"5,061",Put,11/23/22
265,96.99,0,20,Put,11/21/22
266.67,85,547,"16,338",Put,11/23/22
270,87.1,15,12,Put,11/23/22
273.33,90.57,271,"16,111",Put,11/23/22
275,92.1,10,14,Put,11/23/22
276.67,93.6,29,"5,733",Put,11/23/22
280,99.12,14,"5,092",Put,11/23/22
283.33,101.82,156,"2,334",Put,11/23/22
285,106,3,0,Put,11/23/22
286.67,118.6,0,61,Put,11/22/22
293.33,110.41,545,891,Put,11/23/22
295,119.3,0,1,Put,11/21/22
300,117,"4,462","8,079",Put,11/23/22
305,0,0,0,Put,N/A
306.67,123.4,"1,239",220,Put,11/23/22
310,127.25,48,21,Put,11/23/22
313.33,129.75,116,37,Put,11/23/22
315,0,0,0,Put,N/A
316.67,133.4,"1,436",218,Put,11/23/22
320,136.97,643,122,Put,11/23/22
325,142.25,"5,154",841,Put,11/23/22
326.67,143.9,446,116,Put,11/23/22
330,0,0,0,Put,N/A
333.33,150.75,"17,019","2,794",Put,11/23/22
335,0,0,0,Put,N/A
340,157.25,94,48,Put,11/23/22
341.67,158.45,"1,890",289,Put,11/23/22
345,0,0,0,Put,N/A
346.67,130.66,0,0,Put,11/3/22
350,166.4,"6,093",925,Put,11/23/22
353.33,161.95,0,0,Put,11/8/22
355,0,0,0,Put,N/A
358.33,174.9,6,6,Put,11/23/22
360,181.05,6,0,Put,11/23/22
366.67,183.95,"9,455","2,194",Put,11/23/22
370,0,0,0,Put,N/A
375,191.91,7,3,Put,11/23/22
383.33,200.23,8,3,Put,11/23/22
391.67,208.3,1,1,Put,11/23/22
400,216.55,"10,604","2,262",Put,11/23/22
408.33,225.24,7,0,Put,11/23/22
416.67,233.3,3,3,Put,11/23/22
425,241.6,18,7,Put,11/23/22
433.33,249.9,57,12,Put,11/23/22
441.67,273.38,0,0,Put,11/21/22
450,281.65,0,0,Put,11/21/22
458.33,0,0,0,Put,N/A
466.67,283.05,20,10,Put,11/23/22
475,291.4,10,0,Put,11/23/22
483.33,259.2,0,0,Put,10/26/22
491.67,269.5,0,0,Put,10/10/22
500,316.65,24,12,Put,11/23/22
508.33,325,12,0,Put,11/23/22
516.67,301.43,0,0,Put,11/3/22
525,308.45,0,0,Put,11/2/22
533.33,316.8,0,0,Put,11/2/22
541.67,0,0,0,Put,N/A
550,328.65,0,0,Put,10/18/22
558.33,375.9,0,0,Put,11/10/22
566.67,360.55,0,0,Put,10/20/22
575,368.83,0,0,Put,10/20/22
583.33,377.31,0,0,Put,10/20/22
591.67,0,0,0,Put,N/A
600,381.48,0,0,Put,10/12/22
608.33,0,0,0,Put,N/A
616.67,0,0,0,Put,N/A
625,0,0,0,Put,N/A
633.33,451.45,0,0,Put,11/17/22
641.67,0,0,0,Put,N/A
650,466.3,35,15,Put,11/23/22
666.67,482.99,15,0,Put,11/23/22
675,506.9,0,0,Put,11/21/22
683.33,0,0,0,Put,N/A
691.67,0,0,0,Put,N/A
700,0,0,0,Put,N/A
708.33,0,0,0,Put,N/A
716.67,0,0,0,Put,N/A
725,0,0,0,Put,N/A
733.33,0,0,0,Put,N/A
741.67,0,0,0,Put,N/A
750,580.4,0,0,Put,11/21/22
758.33,0,0,0,Put,N/A
766.67,0,0,0,Put,N/A
775,0,0,0,Put,N/A
783.33,595.15,0,0,Put,11/9/22
791.67,604.16,0,0,Put,11/9/22
800,614.2,0,0,Put,11/9/22
808.33,620.69,0,0,Put,11/9/22
816.67,638.6,0,0,Put,11/9/22
825,645.1,2,0,Put,11/23/22
Downloaded from Barchart.com as of 11-24-2022 12:28pm CST,,,,,
